,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
76,0.8313,Wed Jan 03 14:00:15 +0000 2018,0.698,0.0,0.302,1,@BBC,"From mystical tors to magnificent structures, here are some of the most remarkable sacred sites in the UK. ?… https://t.co/G65X5xs8XA"
77,0.0,Wed Jan 03 13:41:47 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcthree: Beyonce, Eminem and The Weeknd to headline this year's Coachella https://t.co/Id53YSs8hi https://t.co/FXriYoTKpi"
78,0.0,Wed Jan 03 13:30:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"Limit children's snacks to 100 calories, health body says. ?? https://t.co/KTW5vkMoj0 https://t.co/t6xvL4aUUJ"
79,0.0,Wed Jan 03 13:13:52 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBCWalesNews: ? #StormEleanor has been battering the Welsh coast - watch its winds and waves here: https://t.co/Uz65gM3Hgr
80,-0.6124,Wed Jan 03 13:13:20 +0000 2018,0.722,0.278,0.0,1,@BBC,RT @bbcthree: It's now illegal to pay women less than men in Iceland https://t.co/nLFkPwoeHF https://t.co/GE6nuJQZEE
81,0.4019,Wed Jan 03 13:13:11 +0000 2018,0.886,0.0,0.114,1,@BBC,"RT @CBeebiesHQ: Look who's here ?

Keep your ‘Nocturnal Animals' entertained with Isla Fisher's Bedtime Story ??

She reads ‘A Big Day for…"
82,0.0,Wed Jan 03 13:02:51 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcdoctorwho: When you realise it's been nine years since Matt Smith was announced as the Eleventh Doctor…
#WhereHasTheTimeGone #Doctor…"
83,0.0,Wed Jan 03 13:00:10 +0000 2018,1.0,0.0,0.0,1,@BBC,A woman who thought for years she had Crohn's disease was found to have pieces of a sauce sachet in her intestine.… https://t.co/fh740RQ6W6
84,0.0,Wed Jan 03 12:30:06 +0000 2018,1.0,0.0,0.0,1,@BBC,Think it's cold where you are? Find out how people in the Russian far east cope with living in -50 Celsius. ?? https://t.co/YIgVe77Zey
85,0.6908,Wed Jan 03 12:00:06 +0000 2018,0.695,0.0,0.305,1,@BBC,"'Be the biggest, baddest, boldest, booming-est.' ~ @NickiMinaj

Heartwarming NY resolutions from musicians to inspi… https://t.co/RoZYPMjSEW"
86,0.0,Wed Jan 03 11:15:06 +0000 2018,1.0,0.0,0.0,1,@BBC,Thousands of homes are without power and travel has been disrupted after #StormEleanor swept across the UK.… https://t.co/wpGfGFCiJ0
87,0.0,Wed Jan 03 09:00:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"From travelling on a shoestring to upping your networking game, here are five life hacks to make 2018 count. ?… https://t.co/2b05jzGHCS"
88,0.128,Wed Jan 03 08:44:51 +0000 2018,0.831,0.076,0.093,1,@BBC,"RT @BBCNews: Victims of people trafficking are in every town and city in the UK.

What is the true scale of the global trade in humans? #Mc…"
89,-0.5362,Wed Jan 03 08:44:42 +0000 2018,0.802,0.198,0.0,1,@BBC,RT @BBCTwo: Settle a bet: who's worse? iPhone users or Android users? @RomeshRanga ?? #IrrationalLive https://t.co/5oZ4hZA1b1
90,0.0,Wed Jan 03 08:44:35 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCEarth: Some animals can survive being frozen 
https://t.co/LCRlBx2MMc"
91,0.0,Wed Jan 03 08:43:40 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCNewsround: Why do storms have names, and who decides what to call them? ??? Check out our handy guide here... https://t.co/5k2rhNBnb…"
92,0.0,Wed Jan 03 08:41:47 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCNews: Each of us streamed 1,036 songs last year (and most of them were by Ed Sheeran) https://t.co/5b0Tj7FXi4"
93,0.5106,Wed Jan 03 08:40:01 +0000 2018,0.82,0.0,0.18,1,@BBC,Can you cook a nutritious meal for £1? This free cookery class is teaching people how. ? https://t.co/6vmreDDxHH
94,0.296,Wed Jan 03 08:38:03 +0000 2018,0.896,0.0,0.104,1,@BBC,"RT @bbcpress: ? HM The Queen shares her memories of her 1953 Coronation in a new documentary film @BBCOne - https://t.co/Cm85Dr7Lu1
Part of…"
95,-0.886,Wed Jan 03 08:20:03 +0000 2018,0.598,0.402,0.0,1,@BBC,"Kill the pedestrian or kill the passenger? ?

The moral dilemmas facing a future with driverless cars.… https://t.co/IChbzGmqeJ"
96,0.0,Wed Jan 03 08:00:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"The purple sandpipers of Portland are masters of speed, judgement and agility. https://t.co/QPDpRRLuar"
97,0.3612,Wed Jan 03 07:37:04 +0000 2018,0.8,0.0,0.2,1,@BBC,What it's like living in California's mountain lion country. ? https://t.co/w4SDSmPRq3 https://t.co/3NW422933s
98,0.296,Tue Jan 02 23:03:13 +0000 2018,0.845,0.0,0.155,1,@BBC,"RT @BBCRadio4: The roots of a national treasure.
David Attenborough - the early years...
https://t.co/wUuyPxaADs"
99,0.0,Tue Jan 02 23:02:58 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBCOne: Make a date with #McMafia. Continues Sundays at 9pm. https://t.co/S9P4xpHGF1
100,0.0,Fri Jan 05 18:30:42 +0000 2018,1.0,0.0,0.0,2,@CBS,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ"
101,0.0,Fri Jan 05 16:05:58 +0000 2018,1.0,0.0,0.0,2,@CBS,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…"
102,0.1867,Thu Jan 04 23:13:02 +0000 2018,0.89,0.0,0.11,2,@CBS,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1"
103,-0.296,Thu Jan 04 14:43:09 +0000 2018,0.879,0.121,0.0,2,@CBS,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD"
104,0.5423,Wed Jan 03 20:33:09 +0000 2018,0.821,0.0,0.179,2,@CBS,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…"
105,-0.5267,Wed Jan 03 19:51:15 +0000 2018,0.833,0.167,0.0,2,@CBS,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS
106,0.5423,Wed Jan 03 15:00:05 +0000 2018,0.857,0.0,0.143,2,@CBS,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV
107,0.0,Wed Jan 03 12:00:01 +0000 2018,1.0,0.0,0.0,2,@CBS,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC"
108,-0.7692,Wed Jan 03 00:47:26 +0000 2018,0.733,0.267,0.0,2,@CBS,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…"
109,0.8516,Tue Jan 02 22:41:51 +0000 2018,0.66,0.0,0.34,2,@CBS,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9
110,0.0,Tue Jan 02 08:00:03 +0000 2018,1.0,0.0,0.0,2,@CBS,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf"
111,0.0,Mon Jan 01 01:16:12 +0000 2018,1.0,0.0,0.0,2,@CBS,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h"
112,0.7798,Sun Dec 31 14:37:05 +0000 2017,0.736,0.0,0.264,2,@CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd
113,0.0,Sat Dec 30 20:25:20 +0000 2017,1.0,0.0,0.0,2,@CBS,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…"
114,0.3612,Sat Dec 30 20:24:58 +0000 2017,0.884,0.0,0.116,2,@CBS,RT @startrekcbs: Find out what happens when you boldly go too far. #StarTrekDiscovery continues January 7 on CBS All Access: https://t.co/f…
115,0.0857,Fri Dec 29 16:06:02 +0000 2017,0.699,0.144,0.157,2,@CBS,Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip
116,0.1511,Thu Dec 28 20:31:01 +0000 2017,0.783,0.096,0.121,2,@CBS,"In case you missed this star-studded tribute to Carol Burnett's classic comedy series, catch up now! Watch The Caro… https://t.co/wu7BxM9gtm"
117,0.0,Thu Dec 28 19:28:22 +0000 2017,1.0,0.0,0.0,2,@CBS,Some of TV's biggest stars saluted @TheNormanLear's impact on television and culture at The 40th Annual Kennedy Cen… https://t.co/E74ChUW1uE
118,0.875,Wed Dec 27 22:45:05 +0000 2017,0.643,0.0,0.357,2,@CBS,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/R0fb5ngJ16
119,0.7717,Wed Dec 27 21:04:10 +0000 2017,0.705,0.0,0.295,2,@CBS,"Celebrate everyone's favorite classic sitcom with Carol Burnett, Vicki Lawrence, and more stars during The Carol Bu… https://t.co/SaiZ9TzBVO"
120,0.8452,Wed Dec 27 19:52:02 +0000 2017,0.663,0.0,0.337,2,@CBS,Joy to the world of streaming! Try #CBSAllAccess FREE for 1 month – just use code BINGE by 1/2:… https://t.co/9p1ACnslz6
121,0.0,Wed Dec 27 19:40:34 +0000 2017,1.0,0.0,0.0,2,@CBS,"Music legend Stevie Wonder salutes @LionelRichie while performing his classic hit, ""Easy"" at The 40th Annual Kenned… https://t.co/7TeDeNyhgo"
122,0.7003,Wed Dec 27 12:00:01 +0000 2017,0.766,0.0,0.234,2,@CBS,"As the youngest Kennedy Center Honoree in 40 years, @LLCoolJ talks about what motivates him to chase his dreams. Wa… https://t.co/DFY78y99w3"
123,0.8398,Wed Dec 27 07:27:33 +0000 2017,0.64,0.0,0.36,2,@CBS,Here's to the 2017 Kennedy Center Honorees! Catch up on an evening of stunning performances and inspiring speeches… https://t.co/jGfANpSCul
124,0.8221,Wed Dec 27 04:00:52 +0000 2017,0.664,0.0,0.336,2,@CBS,This celebration could go all night long! What a great final performance in honor of @LionelRichie. #KCHonors https://t.co/xKLWpKr3v0
125,0.0,Wed Dec 27 03:59:48 +0000 2017,1.0,0.0,0.0,2,@CBS,RT @MarkAPrinceJr: A #LionelRichie tribute is not complete without ?All Night Long? ? #KCHonors
126,0.8271,Wed Dec 27 03:36:01 +0000 2017,0.58,0.0,0.42,2,@CBS,Carmen de Lavallade (@CarmenDances) got emotional during those beautiful performances in her honor. Congratulations… https://t.co/gOCAZpZDpt
127,0.0,Wed Dec 27 03:03:49 +0000 2017,1.0,0.0,0.0,2,@CBS,RT @llcoolj: Attn: #HIPHOP !!!! We made history!! #KCHonors
128,0.5255,Wed Dec 27 03:03:26 +0000 2017,0.78,0.0,0.22,2,@CBS,.@llcoolj is making history! He’s the Kennedy Center’s first hip-hop honoree. #KCHonors https://t.co/kCqkOdUjtu
129,0.7096,Wed Dec 27 02:57:56 +0000 2017,0.753,0.0,0.247,2,@CBS,RT @ErinAnnCullen: #KCHonors is always a night of inspiration. Thank you to these artists for your impact on our country. ???????
130,0.7345,Wed Dec 27 02:48:52 +0000 2017,0.64,0.0,0.36,2,@CBS,Give a round of applause to television pioneer and 2017 Honoree @TheNormanLear! #KCHonors https://t.co/20UosF987x
