,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
172,0.0,Wed Dec 13 23:20:01 +0000 2017,1.0,0.0,0.0,2,@CBS,"So close, yet so far away. Which #Survivor Castaways Will Earn Their Spot In The Final Five? More:… https://t.co/efeBVa4p26"
173,0.5093,Wed Dec 13 18:56:58 +0000 2017,0.798,0.0,0.202,2,@CBS,RT @BandB_CBS: Take a walk down #BoldandBeautiful memory lane! RT your favorite #Steam moment. https://t.co/kxeD2br8Tc
174,0.0,Tue Dec 12 20:34:16 +0000 2017,1.0,0.0,0.0,2,@CBS,"RT @thegoodfight: Court is back in session. Season 2 of #TheGoodFight premieres March 4, exclusively on CBS All Access: https://t.co/Niu5a8…"
175,0.5562,Tue Dec 12 19:04:59 +0000 2017,0.854,0.0,0.146,2,@CBS,Only two weeks until The 40th Annual Kennedy Center Honors air on December 26! Look back on four decades of inspiri… https://t.co/z4J8sfs55V
176,0.555,Tue Dec 12 17:13:52 +0000 2017,0.826,0.0,0.174,2,@CBS,"Mark your calendars! The 53rd Academy Of Country Music Awards will air Sunday, April 15 on CBS!… https://t.co/yYPc5rCiMW"
177,0.8832,Mon Dec 11 21:29:33 +0000 2017,0.636,0.0,0.364,2,@CBS,The search is on to find the pro football player with the best off-the-field talent! Vote for your favorite perform… https://t.co/musmVXrRJz
178,0.4939,Mon Dec 11 19:05:21 +0000 2017,0.703,0.086,0.211,2,@CBS,RT @MadamSecretary: No D.C. holiday party is complete without some political persuasion and a covert sting to bust a corrupt senator. ??? S…
179,-0.2263,Mon Dec 11 00:26:50 +0000 2017,0.917,0.083,0.0,2,@CBS,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd"
180,-0.2263,Mon Dec 11 00:25:54 +0000 2017,0.913,0.087,0.0,2,@CBS,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D"
181,0.0772,Sun Dec 10 22:49:02 +0000 2017,0.936,0.0,0.064,2,@CBS,"RT @NoActivityCBS: If you want the intel, you get the tickles. ? Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…"
182,0.0,Sun Dec 10 22:48:46 +0000 2017,1.0,0.0,0.0,2,@CBS,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. ???? Stream chapter 1 on CBS All Access: https://t…
183,0.5754,Sat Dec 09 18:24:37 +0000 2017,0.742,0.07,0.189,2,@CBS,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs
184,0.6476,Sat Dec 09 01:11:51 +0000 2017,0.791,0.0,0.209,2,@CBS,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO"
185,0.8126,Fri Dec 08 23:35:41 +0000 2017,0.697,0.0,0.303,2,@CBS,RT @bigbangtheory: It's the biggest best friend breakup of the year... ? Stream the latest full episode of #BigBangTheory: https://t.co/iIw…
186,0.7777,Thu Dec 07 18:23:03 +0000 2017,0.746,0.0,0.254,2,@CBS,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…"
187,0.5423,Thu Dec 07 12:07:06 +0000 2017,0.863,0.0,0.137,2,@CBS,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb
188,0.3182,Wed Dec 06 17:32:28 +0000 2017,0.874,0.0,0.126,2,@CBS,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee"
189,0.1511,Tue Dec 05 19:21:31 +0000 2017,0.91,0.0,0.09,2,@CBS,RT @SuperiorDonuts: You'll want to check this box! ?? Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…
190,0.4199,Tue Dec 05 19:14:00 +0000 2017,0.883,0.0,0.117,2,@CBS,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…
191,0.5106,Tue Dec 05 00:54:16 +0000 2017,0.837,0.0,0.163,2,@CBS,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw
192,0.0,Tue Dec 05 00:03:06 +0000 2017,1.0,0.0,0.0,2,@CBS,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. ?  #YoungSheldon https://t.co/bu3W0IC8zN
193,0.3612,Mon Dec 04 20:52:31 +0000 2017,0.894,0.0,0.106,2,@CBS,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ"
194,0.9217,Mon Dec 04 19:22:07 +0000 2017,0.496,0.0,0.504,2,@CBS,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T
195,0.5213,Mon Dec 04 07:14:06 +0000 2017,0.813,0.0,0.187,2,@CBS,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614
196,-0.5655,Mon Dec 04 03:02:00 +0000 2017,0.823,0.177,0.0,2,@CBS,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…"
197,0.9466,Mon Dec 04 03:01:09 +0000 2017,0.328,0.0,0.672,2,@CBS,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!
198,0.5994,Mon Dec 04 02:51:35 +0000 2017,0.719,0.0,0.281,2,@CBS,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ
199,-0.5994,Wed Jan 03 14:04:06 +0000 2018,0.698,0.302,0.0,3,@CNN,The nuclear war tweet heard 'round the world https://t.co/US9Ck8N6A0 https://t.co/awRzVysOgz
